relationship,communication lvl:,headmates,how close?,interaction frequency:,last fronted,last time interacted with,relationship title:,shared memories:,trust lvl.
ody + house,decent/varies,"odysseus (https://www.notion.so/2019ed6c1f7c80dfad62d8fc76fe99d0?pvs=21), house (https://www.notion.so/2019ed6c1f7c80d18bb0c6a9d225e3c6?pvs=21)",romantically close,often but only offhandedly,,,romantic interest,,trusts a lot
S + house,,"S (https://www.notion.so/2029ed6c1f7c80e89403cc1b1d5306bc?pvs=21), house (https://www.notion.so/2019ed6c1f7c80d18bb0c6a9d225e3c6?pvs=21)",friendly,,,,acquaintance,,moderately trusting
S + ody,,"S (https://www.notion.so/2029ed6c1f7c80e89403cc1b1d5306bc?pvs=21), odysseus (https://www.notion.so/2019ed6c1f7c80dfad62d8fc76fe99d0?pvs=21)",friendly,,,,acquaintance,,semi-trusting
[headmate],,,,,,,,,
