title,Last Fronted,communication lvl:,headmate,how close?,interaction frequency:,last time interacted with,relationship title:,shared memories:,trust lvl.
S,,minimal,S (https://www.notion.so/2029ed6c1f7c80e89403cc1b1d5306bc?pvs=21),friendly,very rarely,,friend,,moderately trusts
blitz,,minimal,blitz (https://www.notion.so/2029ed6c1f7c80fca94adab5945ece65?pvs=21),friendly,very rarely,,friend,,moderately trusts
adam,,unknown,adam (https://www.notion.so/2389ed6c1f7c805c9257facac13c3739?pvs=21),neutral,very rarely,,acquaintance,,semi-trusts
vox,,decent/varies,vox (https://www.notion.so/20f9ed6c1f7c80089f7ae036f5153789?pvs=21),friendly,very rarely,,friend,,semi-trusts
