Name,Formula,Items,Items amount
Philips Hue,1 item,Gradient Light Strips (https://www.notion.so/22f9ed6c1f7c81d38a4fe77f53316977?pvs=21),1
iRobot,1 item,Roomba Vacuum + Mop (https://www.notion.so/22f9ed6c1f7c812ba724f63857dc517d?pvs=21),1
23andMe,1 item,23andMe DNA Test (https://www.notion.so/22f9ed6c1f7c816d8418dcc647a5dbbf?pvs=21),1
Apple,2 items,"MacBook Air (https://www.notion.so/22f9ed6c1f7c81de9690e527f2c5f054?pvs=21), Apple Vision Pro (https://www.notion.so/22f9ed6c1f7c81408a94c8553d431f16?pvs=21)",2
Letterfolk,1 item,Tile Mat (https://www.notion.so/22f9ed6c1f7c811f962be96ff486e674?pvs=21),1
Moleskine,0 items,Untitled (https://www.notion.so/1a85666d3e7a4864814b71a48460a3ca?pvs=21),0
YETI,1 item,64oz Water Bottle (https://www.notion.so/22f9ed6c1f7c8165a368fc1a65dc8091?pvs=21),1
Xbox,1 item,Xbox Wireless Controller (https://www.notion.so/22f9ed6c1f7c8153bbd8e8ece061b0df?pvs=21),1
