name,% completed,completed,how well do you know yourself?,img
mindset & beliefs,0,0/3,"do you ask enough questions or are you satisfied with the answers you already have? (https://www.notion.so/21b9ed6c1f7c8134b2f4dae38f3ce57a?pvs=21), do you believe first or see first? (https://www.notion.so/21b9ed6c1f7c81d39533e2a91b554be8?pvs=21), do you control your things, or do your things control you? (https://www.notion.so/21b9ed6c1f7c81e6b663c7b203e5bd7c?pvs=21)",3%201.png
life reflection,0,0/3,"what do you wish you had focused more time on five years ago? (https://www.notion.so/21b9ed6c1f7c817a9fd3e0acc27b0922?pvs=21), can you sum up your life in six words? (https://www.notion.so/21b9ed6c1f7c8143b5fae40800d4d546?pvs=21), if you could go back and do everything over, would you change anything about your life? (https://www.notion.so/21b9ed6c1f7c812a82c5ecccf54f3de3?pvs=21)",2%201.png
legacy & impact,0,0/3,"wow do you think the world would be different if you had never been born? (https://www.notion.so/21b9ed6c1f7c81c6b274e5631141ccf0?pvs=21), what legacy do you want to leave behind? (https://www.notion.so/21b9ed6c1f7c8166a0cdd4c039b53da8?pvs=21), what’s the one thing you’d want others to remember about you when you’re gone? (https://www.notion.so/21b9ed6c1f7c81228125f8fa69cc2bfe?pvs=21)",5.png
relationships,0,0/3,"are there any public figures or celebrities you admire? what qualities do you admire in them? (https://www.notion.so/21b9ed6c1f7c8197bdc2e22d84e7f088?pvs=21), how would you describe your relationship with your mother in one sentence? (https://www.notion.so/21b9ed6c1f7c81dcb6d7c07aab9dc5f0?pvs=21), are you more like your mom or your dad, and in what ways? (https://www.notion.so/21b9ed6c1f7c81f3b67bec01e7c46909?pvs=21)",4.png
purpose,0,0/3,"what gets you fired up about life? (https://www.notion.so/21b9ed6c1f7c8121b6b9c9f9fb3b0136?pvs=21), a year from now, how do you hope your life will look different? (https://www.notion.so/21b9ed6c1f7c819e814ad28f9588122d?pvs=21), if your life were a novel, what would the title be and how would it end? (https://www.notion.so/21b9ed6c1f7c8189a5edcd3d866e5cc6?pvs=21)",1%202.png
personal growth,0,0/3,"what’s a life lesson you had to learn through experience? (https://www.notion.so/21b9ed6c1f7c8125bc56fd779d817120?pvs=21), who do you find yourself comparing your journey to at times? (https://www.notion.so/21b9ed6c1f7c813491fde0bf1e150bc9?pvs=21), are you happy with who you are? (https://www.notion.so/21b9ed6c1f7c817fa280e2fa7022e77c?pvs=21)",7%201.png
decision-making,0,0/3,"are you more focused on doing things right or doing the right things? (https://www.notion.so/21b9ed6c1f7c8135a831d0b845a5dca8?pvs=21), is it possible to deceive without saying a word? (https://www.notion.so/21b9ed6c1f7c81ab9b0bd3bbcd3f99b2?pvs=21), would you break the law to protect someone you love? (https://www.notion.so/21b9ed6c1f7c81d88795c5f7b6ae3a43?pvs=21)",8%201.png
challenges,0,0/3,"when was the last time you pushed yourself outside your comfort zone? (https://www.notion.so/21b9ed6c1f7c81a0a92ee9bde10f1cf6?pvs=21), what habit do you wish you could break, but find it hard to? (https://www.notion.so/21b9ed6c1f7c81279bcaf83cf1e95d63?pvs=21), what makes life easier for you, even when things are tough? (https://www.notion.so/21b9ed6c1f7c81f9b125dc084884dc38?pvs=21)",6%201.png
