name,actions,insights,session created:,sessions
my coping skills,🍂 letting go w/ radical acceptance (https://www.notion.so/21b9ed6c1f7c819bbf16df5448e6fc72?pvs=21),,,
My Beliefs,🕵️ discovering the true you (https://www.notion.so/21b9ed6c1f7c813b89d0d218c3d3f316?pvs=21),,,Untitled (https://www.notion.so/10e16788931280a3b5d3ffc2244b6c7c?pvs=21)
my values,"🧗your personal mission statement (https://www.notion.so/21b9ed6c1f7c81698c5bff15cf95db90?pvs=21), 📣 finding your assertive voice (https://www.notion.so/21b9ed6c1f7c81419d57fd0f912e014c?pvs=21)",,,
my emotional patterns,track your mood (https://www.notion.so/21b9ed6c1f7c81769b71c1cdb92a7b86?pvs=21),,,
my thoughts,"write a journal entry (https://www.notion.so/21b9ed6c1f7c814aa44fda01ff4e5e49?pvs=21), tackling anxious thoughts (https://www.notion.so/21b9ed6c1f7c81338b40ef0756dc55f5?pvs=21)",,,
