Name,Brand,Category,Date added,Most desired,Price,Tags,URL
Tile Mat,Letterfolk (https://www.notion.so/2309ed6c1f7c81c5a870dad7b28b1d89?pvs=21),Home (https://www.notion.so/2309ed6c1f7c81d2950fffac1227f692?pvs=21),"July 14, 2025 11:47 AM",No,$75.00,,https://letterfolk.com/
64oz Water Bottle,YETI (https://www.notion.so/2309ed6c1f7c81678ea8dcce45159aa7?pvs=21),Lifestyle (https://www.notion.so/2309ed6c1f7c8136bf98ddb549891aa2?pvs=21),"July 14, 2025 11:47 AM",No,$65.00,,https://yeti.com/drinkware/bottles/
Xbox Wireless Controller,Xbox (https://www.notion.so/2309ed6c1f7c81d682cecc8b4d06af39?pvs=21),Tech (https://www.notion.so/2309ed6c1f7c81b09f6ecc117c143902?pvs=21),"July 14, 2025 11:47 AM",No,$55.00,,https://www.xbox.com/
Gradient Light Strips,Philips Hue (https://www.notion.so/2309ed6c1f7c8137b3a0dfbed972ed0b?pvs=21),Tech (https://www.notion.so/2309ed6c1f7c81b09f6ecc117c143902?pvs=21),"July 14, 2025 11:47 AM",Yes,$188.00,,https://philips-hue.com/
23andMe DNA Test,23andMe (https://www.notion.so/2309ed6c1f7c81f18d07df37665f627a?pvs=21),Lifestyle (https://www.notion.so/2309ed6c1f7c8136bf98ddb549891aa2?pvs=21),"July 14, 2025 11:47 AM",No,$129.00,,https://23andme.com/
Apple Vision Pro,Apple (https://www.notion.so/2309ed6c1f7c8189aad9c188c0f960b5?pvs=21),Tech (https://www.notion.so/2309ed6c1f7c81b09f6ecc117c143902?pvs=21),"July 14, 2025 11:47 AM",Yes,"$3,500.00",,https://apple.com/apple-vision-pro/
Roomba Vacuum + Mop,iRobot (https://www.notion.so/2309ed6c1f7c8157b788c92cf4411669?pvs=21),Home (https://www.notion.so/2309ed6c1f7c81d2950fffac1227f692?pvs=21),"July 14, 2025 11:47 AM",Yes,$150.00,,https://irobot.com/
MacBook Air,Apple (https://www.notion.so/2309ed6c1f7c8189aad9c188c0f960b5?pvs=21),Tech (https://www.notion.so/2309ed6c1f7c81b09f6ecc117c143902?pvs=21),"July 14, 2025 11:47 AM",Yes,"$1,000.00",,https://apple.com/shop/buy-mac/
