Name,PDF,Purpose
Damage Assessment Form,CERT-Form-1--Damage-Assessment-Form.pdf,"• Used as CERT volunteers travel through the area to their staging location
• Provides a summary of overall hazards in selected areas
• Includes information on fires, utility hazards, structural damage, injuries/deaths, and access
• Essential for prioritizing and formulating action plans"
Emergency Doc,General-Message.pdf,"• Used for sending messages between command levels and groups
• Messages should be clear, concise, and focus on key issues like assignment completion, additional resources required, special information, and status updates"
Communications Log,Communications-Log.pdf,"• Completed by the radio operator
• Used to log incoming and outgoing transmissions"
Assignment Tracking Log,CERT-Form-3--Assignment-Tracking-Log-.pdf,"• Used by the Command Post to track situation status
• Contains essential information for monitoring the overall situation"
Treatment Area Log,CERT-Form-5--Victim-Treatment-Area-Log-.pdf,"• Completed by medical treatment area personnel
• Records survivors entering the treatment area, their condition, and status"
Victim Data Form,Victim-Data-Form.pdf,- Ideal form to gather all information on victims that require prolonged attention
Briefing Assignment Form,CERT-Form-4--Briefing-Assignment-.pdf,"• Used by the Command Post to provide instructions to functional teams
• Used by teams to log their actions and report new damage assessment information"
Equipment Inventory,Equipment-Inventory.pdf,- Used to check out and check in CERT-managed equipment
Personnel Resources Check-In Form,CERT-Form-2--Personnel-Resources-Check-in.pdf,"• Used to sign in CERT volunteers as they arrive at the staging location
• Tracks who is on site, when they arrived, when assigned, and special skills
• Used by staging personnel to track personnel availability"
