prompt,AI topics,date checked ✔️,one step closer 👉,start this prompt
1: accepting your true self,1. self-awareness (https://www.notion.so/21b9ed6c1f7c811eb37adcc0c3b7f35f?pvs=21),,No,
4.1: recurring negative thoughts,5. mindset (https://www.notion.so/21b9ed6c1f7c81e9b93fd80468390e74?pvs=21),,No,
1.1: describe a recent moment of overwhelm,2. emotions (https://www.notion.so/21b9ed6c1f7c81e5a541ee79125c1adb?pvs=21),,No,
2.1: defining healthy connections,3. relationships (https://www.notion.so/21b9ed6c1f7c816aaf65da992c97365f?pvs=21),,No,
3.1: morning motivation,4. motivation (https://www.notion.so/21b9ed6c1f7c812e8709d3ec93518e68?pvs=21),,No,
