topics,% completed,journal days
1. self-awareness,0,1: accepting your true self (https://www.notion.so/21b9ed6c1f7c81f6bad5e9ecdb7caa04?pvs=21)
4. motivation,0,3.1: morning motivation (https://www.notion.so/21b9ed6c1f7c81cf90f7d4b9be6af2a9?pvs=21)
3. relationships,0,2.1: defining healthy connections (https://www.notion.so/21b9ed6c1f7c816aae15ceea8240c3b0?pvs=21)
2. emotions,0,1.1: describe a recent moment of overwhelm (https://www.notion.so/21b9ed6c1f7c81538b77ffb44c3f10e4?pvs=21)
5. mindset,0,4.1: recurring negative thoughts (https://www.notion.so/21b9ed6c1f7c8146b967cc438c784e41?pvs=21)
