name,children,deity?,img,link,parents,relationship,relationship notes,relationship quality,specific relation
priapus,,god,thumbnail_banner(78).png,https://www.greekboston.com/culture/mythology/priapus/#post-87001,"✧˚.♡ Lady Aphrodite ♡.˚✧ (%E2%9C%A7%CB%9A%20%E2%99%A1%20Lady%20Aphrodite%20%E2%99%A1%20%CB%9A%E2%9C%A7%202189ed6c1f7c810f8a9cdce60b690b28.md), dionysus (dionysus%202269ed6c1f7c80f9a8bac7dddbcb15bf.md)",son,son of dionysys; complicated relationship due to appearance,tense,son
deimos,,god,thumbnail_banner(79).png,https://greekgodsandgoddesses.net/gods/deimos/,"✧˚.♡ Lady Aphrodite ♡.˚✧ (%E2%9C%A7%CB%9A%20%E2%99%A1%20Lady%20Aphrodite%20%E2%99%A1%20%CB%9A%E2%9C%A7%202189ed6c1f7c810f8a9cdce60b690b28.md), ares (ares%202269ed6c1f7c805aa716e186de077994.md)",son,son of Ares; positive relationship,positive,son
phobos,,god,thumbnail_banner(80).png,https://greekgodsandgoddesses.net/gods/phobos/,"✧˚.♡ Lady Aphrodite ♡.˚✧ (%E2%9C%A7%CB%9A%20%E2%99%A1%20Lady%20Aphrodite%20%E2%99%A1%20%CB%9A%E2%9C%A7%202189ed6c1f7c810f8a9cdce60b690b28.md), ares (ares%202269ed6c1f7c805aa716e186de077994.md)",son," the god of fear. relationship isnt the best",tense,son
beroe,,goddess,thumbnail_banner(75).png,https://en.wikipedia.org/wiki/Beroe_(Beirut_nymph),"✧˚.♡ Lady Aphrodite ♡.˚✧ (%E2%9C%A7%CB%9A%20%E2%99%A1%20Lady%20Aphrodite%20%E2%99%A1%20%CB%9A%E2%9C%A7%202189ed6c1f7c810f8a9cdce60b690b28.md), adonis (adonis%202269ed6c1f7c80d18053fc64e2bb6c2d.md)",daughter,"daughter of adonis, lover of poseidon",positive,daughter
golgos,,mortal,thumbnail_banner(81).png,https://en.wikipedia.org/wiki/Golgos,"✧˚.♡ Lady Aphrodite ♡.˚✧ (%E2%9C%A7%CB%9A%20%E2%99%A1%20Lady%20Aphrodite%20%E2%99%A1%20%CB%9A%E2%9C%A7%202189ed6c1f7c810f8a9cdce60b690b28.md), adonis (adonis%202269ed6c1f7c80d18053fc64e2bb6c2d.md)",son,"son of adonis. was the founder of the city of golgi in cyprus, which became a major center for the worship of aphrodite. brother of beroe",positive,son
the horae,,goddess,thumbnail_banner(73).png,https://oldworldgods.com/greeks/harmonia-greek-goddess-of-harmony/,✧˚.♡ Lady Aphrodite ♡.˚✧ (%E2%9C%A7%CB%9A%20%E2%99%A1%20Lady%20Aphrodite%20%E2%99%A1%20%CB%9A%E2%9C%A7%202189ed6c1f7c810f8a9cdce60b690b28.md),daughter,"positive relationship, as they represent the seasons",positive,daughters
himeros,,god,thumbnail_banner(82).png,https://www.theoi.com/Ouranios/ErosHimeros.html#main,✧˚.♡ Lady Aphrodite ♡.˚✧ (%E2%9C%A7%CB%9A%20%E2%99%A1%20Lady%20Aphrodite%20%E2%99%A1%20%CB%9A%E2%9C%A7%202189ed6c1f7c810f8a9cdce60b690b28.md),son,"very sweet, longing sort of relationship since he’s the god of desire",positive,son
anteros,,god,thumbnail_banner(83).png,https://oldworldgods.com/greeks/anteros-greek-god/#breadcrumbs,✧˚.♡ Lady Aphrodite ♡.˚✧ (%E2%9C%A7%CB%9A%20%E2%99%A1%20Lady%20Aphrodite%20%E2%99%A1%20%CB%9A%E2%9C%A7%202189ed6c1f7c810f8a9cdce60b690b28.md),son,the god of requited love; reciprocally good relationship,positive,son
pothos,,god,thumbnail_banner(84).png,https://mythologysource.com/pothos-god-of-desire/#post-5764-_ywabpbt1bxjn,✧˚.♡ Lady Aphrodite ♡.˚✧ (%E2%9C%A7%CB%9A%20%E2%99%A1%20Lady%20Aphrodite%20%E2%99%A1%20%CB%9A%E2%9C%A7%202189ed6c1f7c810f8a9cdce60b690b28.md),son,"the god of longing; good relationship, longs for his mother’s love and gets it",positive,son
eryx,,mortal,thumbnail_banner(85).png,https://en.wikipedia.org/wiki/Eryx_(mythology),✧˚.♡ Lady Aphrodite ♡.˚✧ (%E2%9C%A7%CB%9A%20%E2%99%A1%20Lady%20Aphrodite%20%E2%99%A1%20%CB%9A%E2%9C%A7%202189ed6c1f7c810f8a9cdce60b690b28.md),son,king of the sicillian city of eryx,positive,son
